iter	Passed	Remaining
413	3345	4735
414	3352	4726
415	3360	4717
416	3368	4709
417	3382	4710
418	3390	4701
419	3397	4691
420	3404	4682
421	3412	4674
422	3428	4677
423	3437	4670
424	3443	4659
425	3450	4649
426	3457	4639
427	3465	4630
428	3472	4621
429	3478	4611
430	3485	4601
431	3492	4592
432	3500	4583
433	3509	4577
434	3524	4577
435	3531	4568
436	3538	4558
437	3545	4549
438	3561	4550
439	3569	4543
440	3576	4534
441	3585	4526
442	3592	4516
443	3605	4514
444	3613	4506
445	3619	4496
446	3625	4485
447	3641	4486
448	3650	4480
449	3659	4472
450	3666	4463
451	3673	4453
452	3688	4453
453	3695	4443
454	3701	4434
455	3708	4424
456	3715	4414
457	3721	4403
458	3735	4403
459	3742	4393
460	3748	4382
461	3754	4372
462	3760	4361
463	3766	4351
464	3774	4342
465	3786	4338
466	3793	4329
467	3799	4318
468	3811	4314
469	3819	4307
470	3825	4296
471	3832	4286
472	3839	4277
473	3844	4266
474	3851	4256
475	3857	4246
476	3864	4236
477	3874	4231
478	3883	4224
479	3890	4214
480	3897	4204
481	3910	4202
482	3917	4193
483	3924	4183
484	3930	4173
485	3936	4163
486	3942	4152
487	3947	4142
488	3962	4140
489	3968	4130
490	3974	4119
491	3980	4110
492	3994	4108
493	4001	4098
494	4008	4089
495	4015	4080
496	4021	4069
497	4027	4059
498	4041	4057
499	4047	4047
500	4053	4037
501	4059	4027
502	4066	4017
503	4072	4007
504	4083	4003
505	4092	3995
506	4098	3985
507	4104	3975
508	4110	3965
509	4116	3955
510	4122	3945
511	4136	3942
512	4143	3933
513	4149	3923
514	4156	3913
515	4170	3911
516	4176	3901
517	4182	3891
518	4188	3881
519	4194	3871
520	4199	3861
521	4205	3851
522	4212	3841
523	4218	3831
524	4225	3822
525	4230	3812
526	4236	3802
527	4242	3792
528	4248	3782
529	4259	3777
530	4268	3769
531	4274	3759
532	4279	3750
533	4285	3740
534	4291	3730
535	4297	3720
536	4311	3717
537	4318	3708
538	4324	3698
539	4330	3688
540	4343	3685
541	4350	3676
542	4356	3666
543	4362	3656
544	4368	3647
545	4374	3637
546	4380	3627
547	4394	3624
548	4400	3615
549	4406	3605
550	4412	3595
551	4418	3586
552	4425	3576
553	4434	3570
554	4444	3563
555	4450	3553
556	4456	3544
557	4462	3534
558	4468	3524
559	4473	3515
560	4486	3510
561	4494	3502
562	4500	3493
563	4506	3483
564	4519	3479
565	4526	3470
566	4532	3461
567	4537	3451
568	4544	3441
569	4549	3432
570	4555	3422
571	4569	3418
572	4575	3409
573	4581	3400
574	4587	3390
575	4593	3381
576	4599	3371
577	4605	3362
578	4619	3358
579	4625	3349
580	4631	3340
581	4637	3330
582	4652	3327
583	4659	3318
584	4665	3309
585	4671	3300
586	4677	3291
587	4683	3281
588	4696	3277
589	4703	3268
590	4709	3259
591	4715	3249
592	4721	3240
593	4728	3232
594	4735	3223
595	4748	3218
596	4754	3209
597	4760	3199
598	4766	3190
599	4772	3181
600	4778	3172
601	4785	3163
602	4790	3154
603	4797	3145
604	4803	3136
605	4809	3126
606	4820	3120
607	4829	3113
608	4835	3104
609	4841	3095
610	4847	3086
611	4852	3076
612	4858	3067
613	4869	3061
614	4877	3053
615	4883	3044
616	4889	3035
617	4896	3026
618	4902	3017
619	4908	3008
620	4923	3004
621	4930	2996
622	4936	2987
623	4942	2978
624	4948	2969
625	4954	2959
626	4964	2953
627	4974	2946
628	4980	2937
629	4986	2928
630	4999	2923
631	5006	2915
632	5012	2906
633	5018	2897
634	5024	2888
635	5031	2879
636	5037	2870
637	5046	2863
638	5052	2854
639	5058	2845
640	5063	2836
641	5069	2827
642	5075	2818
643	5084	2810
644	5095	2804
645	5101	2795
646	5107	2786
647	5113	2777
648	5119	2768
649	5124	2759
650	5137	2754
651	5144	2745
652	5150	2736
653	5157	2728
654	5170	2723
655	5177	2714
656	5183	2705
657	5188	2696
658	5195	2688
659	5201	2679
660	5206	2670
661	5221	2665
662	5227	2657
663	5234	2648
664	5240	2639
665	5246	2631
666	5252	2622
667	5263	2615
668	5271	2608
669	5277	2599
670	5283	2590
671	5294	2584
672	5303	2576
673	5310	2568
674	5316	2559
675	5322	2551
676	5328	2542
677	5334	2533
678	5348	2528
679	5355	2520
680	5360	2511
681	5366	2502
682	5373	2493
683	5378	2485
684	5385	2476
685	5398	2470
686	5404	2462
687	5410	2453
688	5415	2444
689	5422	2435
690	5427	2427
691	5437	2420
692	5447	2413
693	5453	2404
694	5458	2395
695	5464	2386
696	5470	2378
697	5476	2369
698	5483	2361
699	5489	2352
700	5496	2344
701	5502	2335
702	5508	2327
703	5520	2320
704	5527	2312
705	5533	2304
706	5540	2295
707	5545	2287
708	5551	2278
709	5557	2270
710	5571	2264
711	5578	2256
712	5584	2247
713	5589	2239
714	5595	2230
715	5601	2221
716	5607	2213
717	5621	2207
718	5628	2199
719	5634	2191
720	5640	2182
721	5646	2174
722	5652	2165
723	5658	2156
724	5663	2148
725	5669	2139
726	5676	2131
727	5681	2122
728	5687	2114
729	5701	2108
730	5708	2100
731	5714	2092
732	5719	2083
733	5725	2075
734	5731	2066
735	5740	2058
736	5751	2052
737	5757	2044
738	5763	2035
739	5769	2027
740	5775	2018
741	5781	2010
742	5794	2004
743	5802	1996
744	5808	1987
745	5814	1979
746	5827	1973
747	5835	1965
748	5841	1957
749	5848	1949
750	5855	1941
751	5861	1933
752	5873	1926
753	5881	1918
754	5887	1910
755	5893	1902
756	5899	1893
757	5905	1885
758	5910	1876
759	5924	1870
760	5932	1863
761	5938	1854
762	5944	1846
763	5959	1840
764	5966	1832
765	5972	1824
766	5978	1816
767	5984	1807
768	5990	1799
769	6003	1793
770	6010	1785
771	6016	1776
772	6022	1768
773	6028	1760
774	6034	1751
775	6040	1743
776	6054	1737
777	6061	1729
778	6067	1721
779	6073	1712
780	6080	1704
781	6085	1696
782	6096	1689
783	6105	1682
784	6111	1673
785	6117	1665
786	6123	1657
787	6129	1648
788	6135	1640
789	6141	1632
790	6147	1624
791	6153	1615
792	6159	1607
793	6165	1599
794	6174	1592
795	6184	1585
796	6190	1576
797	6197	1568
798	6202	1560
799	6208	1552
800	6214	1543
801	6227	1537
802	6234	1529
803	6240	1521
804	6246	1513
805	6252	1504
806	6258	1496
807	6264	1488
808	6277	1482
809	6284	1474
810	6290	1465
811	6296	1457
812	6309	1451
813	6322	1444
814	6328	1436
815	6335	1428
816	6340	1420
817	6347	1412
818	6353	1404
819	6360	1396
820	6373	1389
821	6380	1381
822	6386	1373
823	6392	1365
824	6406	1358
825	6413	1351
826	6419	1342
827	6424	1334
828	6431	1326
829	6436	1318
830	6442	1310
831	6456	1303
832	6463	1295
833	6470	1287
834	6480	1280
835	6490	1273
836	6496	1265
837	6502	1257
838	6508	1248
839	6514	1240
840	6520	1232
841	6532	1225
842	6539	1217
843	6545	1209
844	6551	1201
845	6557	1193
846	6564	1185
847	6571	1177
848	6585	1171
849	6592	1163
850	6597	1155
851	6603	1147
852	6609	1139
853	6615	1130
854	6623	1123
855	6634	1116
856	6640	1107
857	6645	1099
858	6650	1091
859	6664	1084
860	6670	1076
861	6676	1068
862	6682	1060
863	6688	1052
864	6694	1044
865	6700	1036
866	6713	1029
867	6719	1021
868	6726	1013
869	6732	1005
870	6738	997
871	6744	990
872	6757	983
873	6764	975
874	6771	967
875	6777	959
876	6790	952
877	6797	944
878	6803	936
879	6809	928
880	6816	920
881	6822	912
882	6828	904
883	6842	897
884	6848	889
885	6854	881
886	6860	873
887	6866	866
888	6872	858
889	6884	850
890	6892	843
891	6898	835
892	6904	827
893	6911	819
894	6916	811
895	6922	803
896	6937	796
897	6943	788
898	6949	780
899	6955	772
900	6969	765
901	6975	757
902	6982	750
903	6988	742
904	6995	734
905	7001	726
906	7008	718
907	7014	710
908	7020	702
909	7026	694
910	7032	687
911	7039	679
912	7045	671
913	7051	663
914	7065	656
915	7071	648
916	7078	640
917	7084	632
918	7090	624
919	7096	617
920	7104	609
921	7115	601
922	7122	594
923	7128	586
924	7134	578
925	7140	570
926	7146	562
927	7159	555
928	7166	547
929	7172	539
930	7178	532
931	7192	524
932	7198	516
933	7204	509
934	7210	501
935	7216	493
936	7222	485
937	7228	477
938	7243	470
939	7250	462
940	7256	454
941	7262	447
942	7269	439
943	7275	431
944	7289	424
945	7297	416
946	7303	408
947	7309	400
948	7315	393
949	7321	385
950	7330	377
951	7341	370
952	7347	362
953	7353	354
954	7363	346
955	7372	339
956	7379	331
957	7385	323
958	7391	316
959	7397	308
960	7403	300
961	7416	292
962	7423	285
963	7429	277
964	7435	269
965	7441	261
966	7447	254
967	7452	246
968	7466	238
969	7473	231
970	7480	223
971	7486	215
972	7500	208
973	7506	200
974	7512	192
975	7517	184
976	7524	177
977	7530	169
978	7540	161
979	7549	154
980	7555	146
981	7561	138
982	7567	130
983	7573	123
984	7579	115
985	7592	107
986	7599	100
987	7605	92
988	7611	84
989	7624	77
990	7631	69
991	7637	61
992	7643	53
993	7649	46
994	7655	38
995	7661	30
996	7676	23
997	7682	15
998	7689	7
999	7694	0
